invoice_id,entity,date,amount
BT-2025057,BlueShift Tech,2025-01-17,17556.19
INV-BT-25,BlueShift Tech,2025-01-18,31446.27
BT116,BlueShift Tech,2025-01-07,1839.19
INV-AD-12,Apex Dynamics,2025-01-21,12929.9
SM-2025019,Starlight Media,2025-01-23,17480.74
AD-2025007,Apex Dynamics,2025-01-08,9408.18
INV-IS-24,IronClad Security,2025-01-16,11873.45
AD-2025032,Apex Dynamics,2025-01-04,1279.96
QR-2025015,Quantum Retail,2025-01-23,22553.26
VL142,Veritas Legal,2025-01-15,33028.9
NC-2025017,Nexus Cloud,2025-01-24,5706.97
INV-BT-39,BlueShift Tech,2025-01-07,21280.19
BT110,BlueShift Tech,2025-01-14,16873.02
INV-AD-49,Apex Dynamics,2025-01-28,20067.59
IS-2025043,IronClad Security,2025-01-15,29770.04
INV-NC-36,Nexus Cloud,2025-01-22,18440.54
NH151,Novus Health,2025-01-25,1415.16
NH128,Novus Health,2025-01-24,19551.67
INV-NH-3,Novus Health,2025-01-04,802.86
INV-BT-58,BlueShift Tech,2025-01-15,25588.14
IS113,IronClad Security,2025-01-17,17315.21
NC-2025045,Nexus Cloud,2025-01-09,13343.78
BT-2025009,BlueShift Tech,2025-01-22,34406.09
INV-SM-35,Starlight Media,2025-01-24,11748.95
MF104,Meridian Financial,2025-01-17,11111.24
ZL-2025038,Zenith Logistics,2025-01-25,3137.36
INV-NC-22,Nexus Cloud,2025-01-25,9342.81
ZL108,Zenith Logistics,2025-01-29,30603.79
INV-SM-46,Starlight Media,2025-01-29,32375.59
NC129,Nexus Cloud,2025-01-25,17129.88
VL159,Veritas Legal,2025-01-07,8237.66
SM-2025034,Starlight Media,2025-01-21,8492.35
INV-AD-14,Apex Dynamics,2025-01-17,10638.13
VL140,Veritas Legal,2025-01-25,12195.88
NC101,Nexus Cloud,2025-01-08,17157.91
ZL-2025033,Zenith Logistics,2025-01-29,9324.54
INV-NH-54,Novus Health,2025-01-10,25938.25
NH156,Novus Health,2025-01-22,734.69
AD-2025005,Apex Dynamics,2025-01-13,12670.63
AD148,Apex Dynamics,2025-01-20,9905.42
AD-2025044,Apex Dynamics,2025-01-23,21239.49
INV-MF-30,Meridian Financial,2025-01-23,10190.87
AD-2025031,Apex Dynamics,2025-01-03,2187.13
SM137,Starlight Media,2025-01-01,23618.44
IS120,IronClad Security,2025-01-24,7427.26
AD118,Apex Dynamics,2025-01-12,13905.35
INV-VL-23,Veritas Legal,2025-01-15,22353.7
INV-NH-26,Novus Health,2025-01-06,15652.18
INV-VL-53,Veritas Legal,2025-01-25,26486.82
IS-2025050,IronClad Security,2025-01-15,4956.47
INV-SM-11,Starlight Media,2025-01-10,22473.93
INV-MF-52,Meridian Financial,2025-01-09,12439.38
INV-AD-2,Apex Dynamics,2025-01-08,4714.84
BT-2025021,BlueShift Tech,2025-01-14,28980.03
INV-SM-6,Starlight Media,2025-01-18,23153.85
MF147,Meridian Financial,2025-01-06,6626.67
INV-NH-55,Novus Health,2025-01-29,23892.44
INV-VL-0,Veritas Legal,2025-01-14,33128.56
NC127,Nexus Cloud,2025-01-05,33016.48
ZL-2025041,Zenith Logistics,2025-01-02,8851.32
