invoice_id,entity,date,amount
INV-1001,BlueShift Tech,2025-01-11,6910.8
INV-1002,Zenith Logistics,2025-01-06,23597.13
INV-1003,Zenith Logistics,2025-01-09,2844.2
INV-1004,Zenith Logistics,2025-01-03,1525.89
INV-1005,Starlight Media,2025-01-11,16507.69
INV-1006,Veritas Legal,2025-01-31,3730.38
INV-1007,Quantum Retail,2025-01-01,22114.79
INV-1008,Quantum Retail,2025-01-15,8893.08
INV-1009,Novus Health,2025-01-27,9315.5
INV-1010,Quantum Retail,2025-01-30,9766.5
INV-1011,IronClad Security,2025-01-06,4449.61
INV-1012,Veritas Legal,2025-01-27,16315.43
INV-1013,Starlight Media,2025-01-15,23722.69
INV-1014,Nexus Cloud,2025-01-14,2123.36
INV-1015,Zenith Logistics,2025-01-09,18821.33
INV-1016,Nexus Cloud,2025-01-17,17500.19
INV-1017,Novus Health,2025-01-15,2073.88
INV-1018,IronClad Security,2025-01-24,8481.37
INV-1019,Veritas Legal,2025-01-04,20764.02
INV-1020,Meridian Financial,2025-01-11,24143.16
INV-1021,Nexus Cloud,2025-01-06,4802.01
INV-1022,IronClad Security,2025-01-22,24599.54
INV-1023,Meridian Financial,2025-01-12,8308.2
INV-1024,Quantum Retail,2025-01-07,19901.58
INV-1025,Starlight Media,2025-01-29,12319.61
INV-1026,Apex Dynamics,2025-01-29,4093.23
INV-1027,Veritas Legal,2025-01-29,13229.43
INV-1028,BlueShift Tech,2025-01-17,11869.59
INV-1029,Meridian Financial,2025-01-23,7542.44
INV-1030,BlueShift Tech,2025-01-20,1174.62
INV-1031,Novus Health,2025-01-23,2326.72
INV-1032,BlueShift Tech,2025-01-04,15468.18
INV-1033,Novus Health,2025-01-07,3605.07
INV-1034,Veritas Legal,2025-01-25,7838.89
INV-1035,IronClad Security,2025-01-18,18337.07
INV-1036,IronClad Security,2025-01-09,11233.72
INV-1037,Zenith Logistics,2025-01-02,23490.7
INV-1038,Meridian Financial,2025-01-21,13395.86
INV-1039,Novus Health,2025-01-27,17026.82
INV-1040,Starlight Media,2025-01-09,6945.01
INV-1041,Zenith Logistics,2025-01-13,13154.79
INV-1042,BlueShift Tech,2025-01-18,19406.76
INV-1043,Veritas Legal,2025-01-30,10866.1
INV-1044,Quantum Retail,2025-01-07,16935.98
INV-1045,Zenith Logistics,2025-01-09,17148.17
INV-1046,Apex Dynamics,2025-01-08,11002.67
INV-1047,Veritas Legal,2025-01-14,2473.28
INV-1048,Meridian Financial,2025-01-11,3117.9
INV-1049,Quantum Retail,2025-01-21,16576.76
INV-1050,Meridian Financial,2025-01-07,19033.53
